text,language
Saan ka pupunta?,tagalog
Maayo nga adlaw.,hiligaynon
Salamat sa tanan.,hiligaynon
Gusto ko ng tubig. talaga,tagalog
Paano ka?,tagalog
How do you do?,english
Paano ka? talaga,hiligaynon
How do you do? nga,english
Salamat sa lahat.,tagalog
Help me. po,english
Kayat ko ti danum. man,ilocano
Salamat sa tanan. po,hiligaynon
Kamusta ka?,hiligaynon
Good day. man,english
Aniyo ti nagan mo?,ilocano
Gusto ko ug tubig.,cebuano
Gusto ko ng tubig. po,tagalog
I want water. man,english
Ano ang iyong pangalan?,tagalog
Paano ka? ba,tagalog
Magandang araw. talaga,tagalog
Tabangi ko. po,cebuano
Ano ba ang name mo?,taglish
I want water. po,english
Aniyo ti oras ita?,ilocano
Ano ang oras na ngayon? nga,tagalog
Gusto ko ng tubig. po,tagalog
Aniyo ti nagan mo? talaga,ilocano
Ano ba ang time ngayon? ba,taglish
Asa ka muadto? man,cebuano
Unsa ang oras karon? po,cebuano
Good day.,english
Gihigugma tika.,cebuano
Ano ang oras na ngayon?,tagalog
Thank you for everything. nga,english
Paano ka? ba,tagalog
Salamat sa tanan.,cebuano
Paano ka? man,hiligaynon
Thanks sa lahat. talaga,taglish
What time is it? talaga,english
Ay-ayaten ka. talaga,ilocano
What is your name?,english
Kumusta man ka?,cebuano
Saan ka ba pupunta?,taglish
Kumusta ka? ba,ilocano
Ay-ayaten ka.,ilocano
Asa ka muadto? po,cebuano
Kumusta ka? nga,ilocano
Maayo nga adlaw. man,hiligaynon
Please help me. nga,taglish
Mahal kita. po,tagalog
Saan ka ba pupunta? talaga,taglish
Help me. talaga,english
Maayong adlaw.,cebuano
Mahal kita. po,tagalog
How are you?,taglish
Ano ang iyong pangalan? man,tagalog
Ano ang ngalan mo?,hiligaynon
Saan ka ba pupunta? nga,taglish
How are you?,english
Kumusta ka?,cebuano
Ano ang ngalan mo? ba,hiligaynon
Ano ang oras subong? talaga,hiligaynon
Gusto ko ng tubig. talaga,tagalog
Thank you for everything.,english
Paano ka? man,hiligaynon
Mahal kita.,tagalog
Sadino ti papanam? man,ilocano
Sadino ti papanam?,ilocano
Thanks sa lahat. po,taglish
I love you.,english
Ano ba ang name mo? nga,taglish
Kumusta man? po,ilocano
Salamat sa tanan. man,hiligaynon
Unsa ang oras karon?,cebuano
Kumusta ka? talaga,tagalog
What time is it? po,english
Gugma ko sa imo.,hiligaynon
Salamat sa lahat. ba,tagalog
Tabangi ko.,cebuano
How are you? ba,taglish
Asa ka muadto?,cebuano
Ano ba ang name mo? talaga,taglish
Salamat sa tanan. po,hiligaynon
Naimbag a aldaw.,ilocano
Kumusta man?,ilocano
Please help me.,taglish
What is your name? talaga,english
Kamusta ka ba? po,taglish
Unsa imong ngalan? talaga,cebuano
I love you talaga. po,taglish
Ano ang oras subong? nga,hiligaynon
Gugma ko sa imo. talaga,hiligaynon
Diin ka makadto?,hiligaynon
Gusto ko sang tubig.,hiligaynon
Ay-ayaten ka. ba,ilocano
Help me. man,english
Agyamanak iti amin.,ilocano
Gusto ko ng tubig. ba,tagalog
Tulungan mo ako.,tagalog
How are you? man,english
Tabangi ko. talaga,cebuano
Unsa imong ngalan?,cebuano
What is your name? talaga,english
Kumusta ka? po,tagalog
Gusto ko ng tubig.,tagalog
Paano ka?,hiligaynon
Kumusta ka?,tagalog
Aniyo ti oras ita? ba,ilocano
Thanks sa lahat.,taglish
Good morning po. nga,taglish
Kumusta man? ba,ilocano
What time is it?,english
Kumusta ka? talaga,ilocano
Salamat sa tanan. ba,hiligaynon
Kumusta ka? man,tagalog
Ay-ayaten ka. man,ilocano
Magandang araw. nga,tagalog
How are you? man,taglish
Kumusta man ka? nga,cebuano
I want water.,english
Tulungan mo ako. talaga,tagalog
I love you talaga.,taglish
Where are you going?,english
Tulongam. ba,ilocano
Please help me. po,taglish
Mahal kita. po,tagalog
Good morning po. po,taglish
What time is it? talaga,english
Gusto ko ng water. ba,taglish
Kayat ko ti danum. ba,ilocano
Magandang araw.,tagalog
Unsa ang oras karon? ba,cebuano
Good day. man,english
Good morning po.,taglish
Help me. talaga,english
Kumusta ka?,ilocano
Ano ba ang name mo? nga,taglish
Magandang araw. man,tagalog
Good day. po,english
Tabangi ko. ba,cebuano
Ano ang oras subong?,hiligaynon
Gusto ko ng water.,taglish
How are you? man,english
Salamat sa lahat. talaga,tagalog
Ay-ayaten ka. ba,ilocano
Buligi ako.,hiligaynon
Kayat ko ti danum.,ilocano
Naimbag a aldaw. ba,ilocano
Saan ka ba pupunta? talaga,taglish
Ano ba ang time ngayon?,taglish
Paano ka? man,tagalog
Tulongam.,ilocano
Kamusta ka ba?,taglish
Ay-ayaten ka. ba,ilocano
Kumusta ka? nga,cebuano
Ano ba ang time ngayon? ba,taglish
Help me.,english
Mahal kita. po,tagalog
Agyamanak iti amin. po,ilocano
